Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,LONGITUDE,LATITUDE
25341,11/01/17,Trash - Curbside/Alley Missed Pickup,"Missed trash pickup - resident has at curb for pick up today 
received back door form on 10/30/2017 is still in interoffice mail pickup since 10/30",3113 HYDES FERRY RD,37218.0,RED RIVER,4204,2.0,1721577.76771205,676018.399899977,-86.83675030953509,36.1875842667745
25350,11/01/17,Trash Collection Complaint,Missed- 4th week in a row.,3210 Whites Creek Pike,37207.0,RED RIVER,3201,3.0,1726432.96620837,691919.200296047,-86.82075005147804,36.23137438427676
25359,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed. Does not have access to alley.,830 Meridian St,37207.0,METRO,9207,5.0,1741744.71198552,675328.666056683,-86.768394764647,36.1861439420134
25366,11/01/17,Trash Collection Complaint,"trash truck took cart 
3 guys on truck did not have truck number 
please call (615) 569-4994",2200 osage st,37208.0,METRO,9201,21.0,1728644.75713234,672074.099109828,-86.81269238894096,36.176913349301536
25370,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,6543 Thunderbird Dr,37209.0,RED RIVER,4205,20.0,1706941.58394937,659614.183556474,-86.88584245614672,36.1421700250595
25371,11/01/17,Trash - Curbside/Alley Missed Pickup,Pickup missed,2218 BUENA VISTA PIKE,37218.0,RED RIVER,4204,2.0,1724505.76628625,679777.599715987,-86.82693625191021,36.1979786489898
25393,11/01/17,Trash Collection Complaint,trash carts all tossed in road after pick up,2720 riverbend dr,37214.0,RED RIVER,1501,15.0,1762455.9236539,693225.665703145,-86.69864710761044,36.23573116227912
25407,11/01/17,Trash Collection Complaint,Curb/Trash miss everyone already gotten pick up. UNIT-B,4209 Lone Oak Rd,37215.0,RED RIVER,3305,25.0,1729355.43814804,644389.920698521,-86.8095086720331,36.10088356244372
25449,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/trash miss for this address and others. Tuesday,356 Kingview Dr,37218.0,RED RIVER,3204,1.0,1722025.95847515,685779.071232628,-86.83551396006759,36.214405973072566
25454,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,449 Westboro Dr,37209.0,RED RIVER,4201,20.0,1710615.08966878,661992.330671121,-86.87347362537817,36.14879323253828
25465,11/01/17,Trash Collection Complaint,A resident is complaining that a trash truck ran a red light through a school zone at Davidson Academy. The truck number is 4887AH.,1414 Old Hickory Blvd,37207.0,,,3.0,1738736.96347972,711231.79978216,-86.77955562367548,36.284698988562674
25469,11/01/17,Trash - Curbside/Alley Missed Pickup,"Our trash was not picked up today, Wed, Nov 1. It was out by 7 am and our neighbors trash was picked up but ours was not.",117 Lafayette Ct,37205.0,RED RIVER,1302,23.0,1713464.96687429,644882.402007776,-86.86331020670802,36.101863319089006
25471,11/01/17,Trash - Curbside/Alley Missed Pickup,"Alley trash miss Tuesday, also others as well, out on time.",1904 MeHarry Blvd,37208.0,METRO,9208,21.0,1730048.07086928,668927.190485301,-86.80784979915997,36.16830106333506
25474,11/01/17,Trash - Curbside/Alley Missed Pickup,Customer says backdoor pickup was missed the past 2 weeks,1144 Sewanee Rd,37220.0,RED RIVER,3302,34.0,1731663.36704106,639182.402269341,-86.80155227320982,36.0866309854553
25496,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,1815 WOODMONT BLVD,37215.0,RED RIVER,3305,25.0,1730532.21569564,648861.631860082,-86.80565004279673,36.11319373266751
25506,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,405 Page Rd,37205.0,RED RIVER,1302,34.0,1711546.56648572,639925.602166337,-86.86965468131375,36.0882006892543
25507,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,4722 DANBY DR,37211.0,RED RIVER,4302,26.0,1748482.56464258,636882.402277738,-86.74457227289058,36.080677938304255
25508,11/01/17,Trash Collection Complaint,missed. Neighbor missed as well-say she is at a dead end and she is constantly missed. She understands it is hard for the driver to turn around  but she doesn't want to have to call all the time.,2812 27TH AVE S,37212.0,RED RIVER,2305,18.0,1729022.33394229,652985.679115469,-86.81087725800832,36.12448793008582
25509,11/01/17,Trash - Curbside/Alley Missed Pickup,cust says entire street was missed,4506 DAKOTA AVE,37209.0,RED RIVER,1308,24.0,1720100.1654592,661552.800933596,-86.84133584782836,36.14781415621398
25511,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,259 Sunrise Ave,37211.0,RED RIVER,4304,16.0,1750609.59344832,645187.6809331,-86.73758618011756,36.10353644244557
25512,11/01/17,Trash - Curbside/Alley Missed Pickup,cust says entire street was missed,4311 dakota ave,37209.0,RED RIVER,1308,24.0,1720100.1654592,661552.800933596,-86.84133584782836,36.14781415621398
25515,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed. Cart is still out,4029 Graybar Ct,37215.0,RED RIVER,3305,25.0,1729986.30393874,648821.425466489,-86.80749704336841,36.11307092951287
25517,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,524 Harding Pl,37211.0,RED RIVER,4302,26.0,1751208.96335089,635651.200956123,-86.73531477251949,36.07735249282284
25519,11/01/17,Trash Collection Complaint,"5th time in as many weeks, Metro has not picked up the trash from 3702 Hobbs Rd on our scheduled pick-up day.  This is not my first complaint.  Also my neighbor at 3704 Hobbs has submitted complaints for the same problem.",3702 Hobbs Rd,37215.0,RED RIVER,3304,34.0,1721317.06630747,645218.701907873,-86.8367413869682,36.10297445257602
25522,11/01/17,Trash - Curbside/Alley Missed Pickup,Second week in a row for no trash pickup.,405 brook hollow rd,37205.0,RED RIVER,1301,23.0,1706842.56688538,646820.00228843,-86.8857856154401,36.10702319057458
25525,11/01/17,Trash Collection Complaint,"Missed my trash AGAIN.
check your records.  I get missed all of the time",162 antioch pike,37211.0,RED RIVER,4304,16.0,1753144.96479326,644275.202194266,-86.72898094420633,36.101082089003256
25529,11/01/17,Trash - Curbside/Alley Missed Pickup,The trash can was missed this week. They picked up the recycling bins next to it but not the trash.,131 page rd,37205.0,RED RIVER,1302,34.0,1712019.56890641,642604.860911219,-86.86813433088699,36.09557196032748
25535,11/02/17,Trash Collection Complaint,Missed- several weeks in a row.,3704 Hobbs Rd,37215.0,RED RIVER,3304,34.0,1721320.51528351,645165.75231022,-86.8367281799861,36.10282908473872
25536,11/02/17,Trash - Curbside/Alley Missed Pickup,trash missed Wednesday. Curb,6011 Jocelyn Hollow Rd,37205.0,RED RIVER,1304,23.0,1711333.96669066,649685.901491906,-86.8706680545809,36.11500628448344
25539,11/02/17,Trash - Curbside/Alley Missed Pickup,"Alley trash miss for Wednesday. Wants cart emptied. Also others 
615-293-1573",2524 Batavia St,37208.0,METRO,9303,21.0,1727574.08061429,666486.401814931,-86.81616207044219,36.161540095245634
25540,11/02/17,Trash - Curbside/Alley Missed Pickup,"Curb trash miss Wednesday, also neighbors as well.",934 Battery Ln,37220.0,RED RIVER,3302,25.0,1735552.16563991,639784.002228514,-86.7884079602372,36.088370324999566
25542,11/02/17,Trash - Curbside/Alley Missed Pickup,Curb/Court missed Wednesday. Trash,305 Williams Ct,37209.0,RED RIVER,1301,22.0,1697285.71558644,651096.811669883,-86.91827228071826,36.11852922391434
25575,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pick up,346 lynn dr,37211.0,RED RIVER,4302,26.0,1747944.09103849,637187.797922015,-86.7464023604274,36.08150558212864
25577,11/02/17,Trash - Curbside/Alley Missed Pickup,trash missed pick up - others missed in area,4205 arundel ct,37215.0,RED RIVER,2303S,25.0,1721425.02143048,648442.065802961,-86.83646922173195,36.11183133278382
25578,11/02/17,Trash Collection Complaint,"Curb/Trash missed Whole street, check for other streets as well seen carts still out.  Wednesday. Has to keep calling. 
wants to know why?",204 Channelkirk Ln,37215.0,RED RIVER,3305,25.0,1729598.74628545,648513.730504195,-86.80880046588406,36.112216921842446
25585,11/02/17,Trash - Curbside/Alley Missed Pickup,Curb/Trash miss Wednesday,200 Channelkirk Ln,37215.0,RED RIVER,3305,25.0,1729513.29558005,648495.571437726,-86.80908923793281,36.1121650999316
25586,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,4311 dakota ave,37209.0,RED RIVER,1308,24.0,1720742.73956707,661438.818510417,-86.83915623147725,36.147516212683286
25587,11/02/17,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS ALSO MISSED CURB,101 Westover Park Ct,37215.0,RED RIVER,3305S,25.0,1729295.48572431,644211.602900962,-86.80970660899182,36.10039237213058
25588,11/02/17,Trash Collection Complaint,Missed says it has happened numerous times and she is upset. wants Supervisor to call her.,201 Channelkirk Ln,37215.0,RED RIVER,3305,25.0,1729536.7874004,648641.902604743,-86.80901380512849,36.1125675948804
25592,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup; cust says trash is missed once a month,205 Channelkirk Ln,37215.0,RED RIVER,3305,25.0,1729610.49615312,648595.971663382,-86.8087629893273,36.11244309929644
25593,11/02/17,Trash - Curbside/Alley Missed Pickup,"New resident, trash missed 2 weeks in a row",4309 Lone Oak Rd,37215.0,RED RIVER,3305,25.0,1729234.836778,643478.251269948,-86.80989135393186,36.09837652155802
25594,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed entire alley,4507 Nevada Ave,37209.0,RED RIVER,1308,24.0,1720021.76704878,661789.600937402,-86.84160826890069,36.14846276980122
25606,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,3012 Sunnyview Ct,37218.0,RED RIVER,3204,1.0,1724135.66523165,690902.399428811,-86.82850970178676,36.228528224121405
25653,11/02/17,Trash - Curbside/Alley Missed Pickup,missed the entire street,118 WESTOVER PARK CT,37215.0,RED RIVER,3305S,25.0,1728948.01375959,644353.068300641,-86.81088671433919,36.100773065970266
25674,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pick-up,607 40th Ave N,37209.0,RED RIVER,1309,21.0,1722065.76517495,664354.402357756,-86.83475957608279,36.15555609768033
25692,11/02/17,Trash - Backdoor,Backdoor/miss for last Friday. Does not understand why?,3041 Fieldstone Dr,37013.0,RED RIVER,3504,29.0,1785677.15882833,633139.246264943,-86.61862376613628,36.07110714543132
25694,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed.,1413 Montgomery Ave,37207.0,METRO,9203,5.0,1745688.16389071,679130.399286571,-86.75513171242486,36.19667117492821
25702,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pick up,962 battery ln,37220.0,RED RIVER,3302,25.0,1734959.36522244,639839.201674096,-86.79041570477956,36.08850882010576
25717,11/02/17,Trash - Curbside/Alley Missed Pickup,"Trash/Miss Alley # 2088 Wednesday pick up UNIT-B
Between Page Rd & Heady Dr",103 Page Rd,37205.0,RED RIVER,1302,34.0,1711419.2116093,644106.786073314,-86.87021151342334,36.09968299062233
25733,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,905 woodmont blvd,37204.0,RED RIVER,4305,25.0,1737879.02134805,647550.356123214,-86.78074277783399,36.109755311693256
25736,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed.,114 Lasalle Ct B,37205.0,RED RIVER,1302,23.0,1713697.05149669,644931.815564243,-86.86252609995842,36.1020046756454
25743,11/02/17,Trash Collection Complaint,"Resident is very upset- Red River emptied only one of the 2 brown carts he had out, truck driver clamps both together all the time, he needs to do one at the time.",732 Ridgeview Ct,37013.0,RED RIVER,4403,31.0,1759010.56487994,619983.201502361,-86.7085311796676,36.03447079231249
25753,11/02/17,Trash - Curbside/Alley Missed Pickup,"Curb trash miss for Wednesday. Everyone else was emptied. Small business"" non- profit",2323 Merry St,37208.0,METRO,9303,21.0,1728796.40522801,665734.063997425,-86.81200036167223,36.15950143224171
25775,11/02/17,Trash - Backdoor,"Missed trash pickup said has been picking up behind the gate for 26 years 
(615) 333-0065",4625 long br,37013.0,RED RIVER,4505,28.0,1770350.41605229,634143.871818357,-86.67050710787724,36.07358954950948
25780,11/02/17,Trash Collection Complaint,"Missed again
picked up everyone except her
does not understand why keep missing (615) 753-1696",816 Elissa Dr,37217.0,RED RIVER,1401,13.0,1760730.56502717,657712.802505494,-86.70363146623659,36.13814695428736
25784,11/02/17,Trash Collection Complaint,Customer says it was missed again,608 CLEVELAND ST,37207.0,METRO,9203,5.0,1743925.764861,675188.002055532,-86.76100052843064,36.18580436677109
25787,11/02/17,Trash - Curbside/Alley Missed Pickup,Our trash (and neighbors trash) has not been picked up last Thursday or today.,2015 Beech Ave B,37204.0,METRO,9401,17.0,1737886.97397215,655886.034443263,-86.78094103044816,36.13265301341837
25789,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,116 Bart Dr,37013.0,RED RIVER,3404,30.0,1763440.96351524,628447.202311899,-86.69375019841662,36.05780857159791
25791,11/02/17,Trash - Curbside/Alley Missed Pickup,Trash was not picked up today,5115 Greentree Dr,37211.0,RED RIVER,3401,27.0,1750027.36356976,630031.202408004,-86.73916952894596,36.06189004730152
25793,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed.,4104 Coleridge Dr,37013.0,RED RIVER,3404,30.0,1763188.16327077,628038.402686102,-86.69459562102986,36.05668067671921
25800,11/02/17,Trash - Curbside/Alley Missed Pickup,missed trash - others missed in area,362 ardsley pl,37215.0,RED RIVER,3301S,34.0,1723730.59758085,641638.381860745,-86.82846911715674,36.09319595272829
25802,11/02/17,Trash - Backdoor,Missed.,4828 Cimarron Way,37013.0,RED RIVER,3404,30.0,1766186.56409375,629785.602877192,-86.68449333042146,36.06153825371066
25808,11/02/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup again,496 Whispering Hills Dr,37211.0,RED RIVER,3401,27.0,1755478.43155001,629550.787560172,-86.72071536047648,36.06068204115965
25809,11/02/17,Trash - Curbside/Alley Missed Pickup,Robin Springs Road missed!,Robin Springs Rd,37220.0,RED RIVER,3302S,34.0,1732449.82459117,639784.397977931,-86.79890732800077,36.0883023018367
25816,11/02/17,Trash - Curbside/Alley Missed Pickup,"trash out on Tuesday night for Wednesday pickup, other trash cans were emptied, mine was skipped. full needs emptied.",1711 Glen Echo Rd A,37215.0,RED RIVER,3305,25.0,1730968.17180386,646848.128378999,-86.80411815333277,36.1076726238631
25821,11/02/17,Trash Collection Complaint,"Trash container out night before pickup in same location as previous 25 years. Trash was not picked up as scheduled Thursday.  Would like trash pick up week as per property taxes. I also see my neighbors trash cans still out. I presume they have not had pickup either. By the way the double negatives in the questions below are confusing. I had bagged garbage, no recycling and no yard waste.",611 Farrell Pkwy,37220.0,RED RIVER,2403,26.0,1742604.16398742,634061.600957324,-86.76439031412409,36.07280480337212
25825,11/03/17,Trash - Curbside/Alley Missed Pickup,Curb Trash missed Thursday. Duplex,531 Cathy Jo Cir,37211.0,RED RIVER,1404,26.0,1756294.82770702,641849.907206801,-86.71825873308954,36.09448388022911
25855,11/03/17,Trash - Curbside/Alley Missed Pickup,"Can i get my trash collection started? Online, it says that there are no services started even through I have the trash and recycle receptacles. My trash has not been picked up for a few weeks. Thanks.",427 West Bend Dr,37209.0,RED RIVER,4201,20.0,1711210.24678764,661853.105226203,-86.87145369576446,36.14842537009356
25858,11/03/17,Trash - Backdoor,Missed- she said her grandson was over yesterday and he told her it was full. She needs it picked up,2005 Lebanon Pike,37210.0,RED RIVER,1504,15.0,1760561.7630735,665276.001224629,-86.70438745639723,36.15891917537191
25862,11/03/17,Trash Collection Complaint,"Trash missed last Thursday. Does not understand why? Curb
please call 513-403-0759
other missed hub tickets ticket # 23455,20137,16881,13660,9921",5900 Cloverland Dr,37027.0,RED RIVER,4401,4.0,1745204.96497002,619088.802667552,-86.75519907847193,36.03173027514773
25864,11/03/17,Trash Collection Complaint,missed pick up - please call (615) 519-3192 wants to know why she is being missed,115 Rosa L Parks BLvd,37203.0,,,19.0,1737457.7654246,665597.600905288,-86.78265742141947,36.15932041834532
25866,11/03/17,Trash Collection Complaint,"caller upset states trash never runs that early, alley. Trash/cart full and wants cart emptied. UNIT-A",1112 Joseph Ave A,37207.0,METRO,9207,5.0,1740730.56463376,677098.400346173,-86.77187851203672,36.19098327441653
25882,11/03/17,Trash Collection Complaint,"not putting carts back where they got them lids left open carts on ground ...2 complaint see ticket CW 904806 
615-975-1015 please call",1800 fatherland st,37206.0,METRO,9508,6.0,1750536.96507912,670416.801849075,-86.73847644054835,36.172837503673954
25883,11/03/17,Trash - Curbside/Alley Missed Pickup,Curb 2 trash/carts miss Wednesday.,615 39th Ave N,37209.0,RED RIVER,1309,21.0,1722565.76577788,664590.400964814,-86.83307278436499,36.156216063873
25924,11/03/17,Trash - Curbside/Alley Missed Pickup,"trash not picked up on Wednesday 11/1/17. Still there today, 11/3/17.",6532 cornwall ct,37205.0,RED RIVER,1301,23.0,1702976.16585215,648132.002253467,-86.89891455734441,36.110530298451415
25931,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed.,1801 Shelby Ave B,37206.0,METRO,9508,6.0,1750414.56501765,669480.002188032,-86.73886716439897,36.17026166791867
25937,11/03/17,Trash - Backdoor,Has been in the hospital and waiver expired.,4225 Eatons Creek Rd,37218.0,RED RIVER,3203,1.0,1713335.36607992,685777.599029922,-86.86497235118658,36.21419453466471
25941,11/03/17,Trash Collection Complaint,Missed again. Has had multiple issues with the route. Needs her trash picked up,1300 Rural Hill Rd,37013.0,RED RIVER,4504,32.0,1777932.16365737,628763.20213387,-86.6447324762924,36.05894883643136
25947,11/03/17,Trash - Curbside/Alley Missed Pickup,"missed pick up - others missed in area
cart sits on Farrell Pkwy side of home",5001 Stillwood dr,37220.0,RED RIVER,2403,26.0,1743063.36456994,633874.402492176,-86.76283158880261,36.07230041763061
25949,11/03/17,Trash - Curbside/Alley Missed Pickup,Curb Trash/Miss Thursday.  {Dead End},5040 Mclendon Dr,37013.0,RED RIVER,3404,30.0,1764866.47496322,627175.456228462,-86.68889732115096,36.05434275558316
25951,11/03/17,Trash - Backdoor,never gets picked up please pick her up has tons of trash {Thursday},15482 Old Hickory Blvd,37211.0,RED RIVER,4402,27.0,1751222.23291524,621945.532305438,-86.73492159343964,36.0397035361965
25963,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,5209 nevada ave,37209.0,RED RIVER,1308,24.0,1717356.96511362,661694.402865844,-86.85063083243604,36.14813798438238
25968,11/03/17,Trash - Backdoor,missing every other week- resident is upset.,2413 ravine dr,37217.0,RED RIVER,2505,29.0,1779724.87528408,637970.052613039,-86.63887084848292,36.08427227887664
25970,11/03/17,Trash Collection Complaint,missed - everyone except his picked up,641 truxton ct,37214.0,RED RIVER,2501,14.0,1778863.36340609,663667.201352353,-86.64235717491135,36.15484582478769
25972,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed.,916 Petway Ave,37206.0,WASTE IND,2509,5.0,1746483.05491246,675576.311639175,-86.75234525961689,36.18692532202568
25973,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed.,914 Petway Ave,37206.0,METRO,9504,5.0,1746437.31788936,675598.756696348,-86.75250082662859,36.18698601018588
25976,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up - said happens often,2205 woodmont blvd,37215.0,RED RIVER,2305,25.0,1727989.86131255,649157.290032477,-86.81426522432004,36.113948086344855
25980,11/03/17,Trash Collection Complaint,"While cleaning the alley behind 1619 Heiman St, someone from the crew had a weed trimmer and cut some pine cypress trees that the customer was growing",1619 HEIMAN ST,37208.0,,,21.0,1730987.85053951,670217.564602645,-86.80470201359066,36.17186684595244
25982,11/03/17,Trash Collection Complaint,"Trash/carts sit's on side alley, missed last week.  Thursday still full. {construction but recycle/guys pickup yesterday.",1209 Linden Ave,37212.0,METRO,9403,18.0,1735176.21537301,654041.479336066,-86.79006984098065,36.12752639633417
25985,11/03/17,Trash Collection Complaint,Missed- neighbor was also skipped.,641 Truxton Ct,37214.0,RED RIVER,2501,14.0,1778863.36340609,663667.201352353,-86.64235717491135,36.15484582478769
25987,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed,1609 Lillian St,37206.0,METRO,9506,6.0,1749557.76458195,670298.400857033,-86.74179088399721,36.1724919257787
25988,11/03/17,Trash - Curbside/Alley Missed Pickup,"customer had 2 trash carts, but only one of them was emptied",3913 Tea Garden Way,37013.0,RED RIVER,3504,33.0,1787799.2704263,631948.89641133,-86.61141813101207,36.06787388989114
26009,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pickup,1009 Southside Ave B,37203.0,METRO,9407,17.0,1737251.71928847,660570.705525375,-86.78321910033547,36.14550747314125
26012,11/03/17,Trash Collection Complaint,"While cleaning the alley behind 1619 Heiman St, someone from the crew had a weed trimmer and cut some pine cypress trees that the customer was growing",1619 HEIMAN ST,37208.0,RED RIVER,3206,21.0,1730987.85053951,670217.564602645,-86.80470201359066,36.17186684595244
26014,11/03/17,Trash Collection Complaint,"file complaint trash is not getting pick up, wants to know why? Wednesday missed again. Curb",940 Battlefield Dr,37204.0,RED RIVER,4305,25.0,1736674.97056786,649463.326801324,-86.78487072497816,36.11498366423004
26026,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pickup for the street,4316 Summercrest Blvd 404,37013.0,RED RIVER,4510,32.0,1785751.36227617,625659.626345631,-86.61821281794992,36.050561890758544
26027,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up,1316 hawkins st,37203.0,METRO,9405,19.0,1735750.56584074,661916.858863188,-86.78833989074029,36.14917212761461
26029,11/03/17,Trash Collection Complaint,Says that the crew always leaves the cart in the middle of the road this time they left it in front of the mailbox and the mailman is unable to leave his mail. Would appreciate it if we put the cart back where he leaves it. Called about this last week and they did the exact same thing this week.,2127 Burns St,37216.0,METRO,9505,7.0,1753328.16416206,679267.80032226,-86.7292434285958,36.19720775267782
26031,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed.,2731 Murfreesboro Pike,37013.0,RED RIVER,4502,32.0,1781139.3630718,632445.602376676,-86.6339628294397,36.06912193712132
26038,11/03/17,Trash - Curbside/Alley Missed Pickup,entire street was missed,1021 IVERSON AVE,37216.0,METRO,9505,8.0,1750814.58488164,683451.989961591,-86.737868845108,36.20864946945173
26039,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed,816 Dresden Ct,37013.0,RED RIVER,3502,33.0,1790883.75713476,635609.498650843,-86.60105780897774,36.07798204303653
26058,11/05/17,Trash - Curbside/Alley Missed Pickup,did not see or hear truck on Friday,216 Gentry Ave,37206.0,METRO,9503,6.0,1752367.76583093,674908.120528695,-86.73238764446933,36.18521249108247
26100,11/05/17,Trash - Curbside/Alley Missed Pickup,customer says trash was missed for the entire street,3901 Calumet Dr,37013.0,RED RIVER,3504,33.0,1786499.48335545,632203.432026315,-86.61582138790945,36.06855071215944
26106,11/05/17,Trash - Backdoor,"I have behind the house pickup.  It has been about a month since the last pickup.  This has been going on all year.  I've called many times.   The staff is always nice, they usually tell they will take care of it but seldom does anyone come out.  Both of my containers are full and I live alone.",1007 Draughon Ave,37204.0,RED RIVER,4305,25.0,1735588.96658405,647555.002246397,-86.78849530738658,36.10971764042733
26113,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,208 Scott Ave,37206.0,METRO,9503,6.0,1751873.53924524,674600.564079415,-86.73405450566456,36.18435749479525
26114,11/06/17,Trash Collection Complaint,this side missed Friday {wants to know why? she's being missed},4776 Apollo Dr,37013.0,RED RIVER,4501,28.0,1771324.16507049,633462.401256226,-86.66719647588884,36.07173584002762
26138,11/06/17,Trash Collection Complaint,Alley trash/miss last Thursday. Overflowing needs empty. Before this Thursday.,901 Caruthers Ave,37204.0,METRO,9403,17.0,1737067.07936313,653155.134059763,-86.78364333121442,36.12513343307076
26141,11/06/17,Trash Collection Complaint,trash missed almost every week - adv client to bag all loose items,5550 Mt View Rd,37013.0,RED RIVER,4504,32.0,1780680.16447547,622557.60189448,-86.63529937019989,36.04195137955247
26144,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up in alley - several missed in area,1602 eastland ave,37206.0,METRO,9503,6.0,1749920.96371603,674054.401018719,-86.74065669246346,36.182816831931966
26151,11/06/17,Trash Collection Complaint,"BACKDOOR/TRASH KEEPS GETTING MISSED. FRIDAY
open gate trash/cart is there always.",4625 Long Br,37013.0,RED RIVER,4505,28.0,1770350.41605229,634143.871818357,-86.67050710787724,36.07358954950948
26157,11/06/17,Trash - Curbside/Alley Missed Pickup,others missed in area,3908 calumet dr,37013.0,RED RIVER,3504,33.0,1786531.38687829,631997.736126736,-86.61570906260096,36.06798621709681
26160,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed entire area.,2511 LAKEVILLA DR,37217.0,RED RIVER,4502,29.0,1778601.17793013,636324.950423673,-86.64263710582264,36.07973299693286
26161,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up - entire street missed,4020 calumet dr,37013.0,RED RIVER,3504,33.0,1786210.64596214,631445.615025531,-86.61678251963662,36.06646399258409
26166,11/06/17,Trash - Backdoor,Missed again BACKDOOR.,2514 Elm Hill Pike,37214.0,RED RIVER,2502,15.0,1767608.16351074,663072.802089764,-86.68046677947216,36.15300410205754
26169,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed pickup in alley behind 4611 Alabama Ave,4611 alabama ave,37209.0,RED RIVER,1309,24.0,1719517.76539484,663456.80190006,-86.84336392357332,36.153030477612745
26170,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,206 Scott Ave,37206.0,METRO,9503,6.0,1751873.53924524,674600.564079415,-86.73405450566456,36.18435749479525
